customer_id,full_name,birth_date,city,income,join_date
296,Ulvi Hasanov,19/12/1992,Lankaran,5598,03/07/2023
1,Fidan Taghizade,01/11/2010,Ganja,0,10/07/2020
2,Nigar Abbasova,13/08/2011,Lankaran,7264,25/06/2022
3,Sevinc Guliyeva,28/08/2000,Sheki,0,03/12/2021
4,Elvin Karimov,29/12/2002,Ganja,0,17/06/2022
5,Fidan Taghizade,04/04/2000,Lankaran,0,10/08/2022
6,Aysel Mammadova,12/03/1991,Ganja,0,17/10/2020
7,Nigar Abbasova,25/02/2004,Nakhchivan,2851,11/08/2023
8,Ali Ahmadov,22/02/1995,Nakhchivan,0,04/08/2023
9,Ulvi Hasanov,27/01/1996,Baku,0,09/02/2024
10,Leyla Huseynova,11/10/2005,Sheki,6388,12/11/2022
11,Turan Ismayilzada,07/10/1992,Ganja,4575,25/05/2020
12,Gunay Rahimova,15/01/2009,Baku,4941,07/12/2023
13,Ali Ahmadov,15/10/2017,Sheki,7079,12/08/2022
14,Gunay Rahimova,09/09/2003,Lankaran,0,19/05/2022
15,Konul Gasimova,09/12/2011,Ganja,0,06/12/2022
16,Konul Gasimova,31/05/2007,Nakhchivan,5102,10/02/2022
17,Leyla Huseynova,02/02/2010,Ganja,2594,15/11/2023
18,Emin Safarov,04/12/1993,Sumqayit,0,22/02/2023
19,Nigar Abbasova,26/05/2001,Sheki,6432,08/02/2023
105,Murad Ismayilov,31/08/2014,Lankaran,0,12/05/2022
160,Emin Safarov,17/02/2002,Nakhchivan,861,09/11/2023
238,Kamran Aliyev,21/04/1992,Sumqayit,0,06/12/2021
163,Murad Ismayilov,25/07/2010,Lankaran,2178,05/07/2022
113,Ilkin Mammadov,22/03/2005,Lankaran,0,14/08/2023
112,Rauf Rzayev,20/03/1995,Nakhchivan,4436,10/03/2021
150,Nurlan Jafarov,22/10/2016,Nakhchivan,0,19/04/2022
184,Ilkin Mammadov,30/07/2000,Lankaran,1977,05/05/2022
290,Nigar Abbasova,10/07/2015,Sheki,5274,31/07/2023
196,Turan Ismayilzada,28/03/1993,Lankaran,0,11/04/2020
199,Nurlan Jafarov,08/02/2016,Lankaran,6287,18/03/2021
245,Ilkin Mammadov,18/08/1993,Ganja,1214,26/03/2023
104,Nurlan Jafarov,30/05/1993,Sumqayit,0,24/10/2020
154,Nurlan Jafarov,27/07/2008,Lankaran,0,01/02/2022
